event_type,varied_parameter,parameter_value,is_default_value,num_samples,expected_seed_runs,completed_seed_runs,reliability_pass_runs,all_completed_runs_reliability_pass,failure_or_missing_runs,failure_reasons,probability_mean,probability_std_across_seed,probability_ci95_across_seed_lower,probability_ci95_across_seed_upper,probability_ci95_method,cross_seed_cov,relative_bias_vs_mc_point,mean_binomial_rse,mean_closed_loop_evaluations,total_closed_loop_evaluations,mean_proposal_evaluations,mean_num_levels,mean_transition_acceptance_rate,mean_final_unique_contexts,mean_final_unique_states,mean_final_largest_context_share,mean_final_largest_state_share,mc_probability,mc_wilson_ci95_lower,mc_wilson_ci95_upper,mc_num_samples,mc_failure_count
following,num_samples,1000,false,1000,3,2,0,false,3,Two consecutive earlier seeds had execution or reliability failures. | unique_contexts 45 < 100 | unique_contexts 61 < 100,0.0029640000000000005,0.00010748023074035538,0.0019983284400311597,0.003929671559968841,two-sided Student-t across independent seeds,0.03626188621469479,0.22987551867219946,0.041232581837959206,9717.0,19434.0,8717.0,4.0,0.5908333333333333,53.0,670.5,0.08449999999999999,0.0085,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,num_samples,3000,true,3000,5,5,5,true,0,,0.002493333333333334,0.0005307269647484583,0.0018343487683292136,0.0031523178983374543,two-sided Student-t across independent seeds,0.21285840832157416,0.03457814661134197,0.027549053820001713,29353.8,146769.0,26353.8,4.0,0.5877555555555555,171.2,1975.2,0.03326666666666667,0.0036666666666666666,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,num_samples,5000,false,5000,3,3,3,true,0,,0.0023045333333333337,0.0004688145617761179,0.0011399334006220066,0.003469133266044661,two-sided Student-t across independent seeds,0.20343145182370306,-0.043762102351313746,0.022521366723377633,48777.666666666664,146333.0,43777.666666666664,4.0,0.5867111111111111,284.6666666666667,3275.3333333333335,0.0234,0.0024,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,p0,0.1,false,3000,3,3,3,true,0,,0.002631111111111112,0.0011163946600718931,-0.00014216696513580113,0.005404389187358025,two-sided Student-t across independent seeds,0.42430540289894575,0.09174734900876018,0.032313265222421124,23559.0,70677.0,20559.0,3.0,0.6387222222222223,176.66666666666666,1979.6666666666667,0.029666666666666664,0.0033333333333333335,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,p0,0.2,true,3000,5,5,5,true,0,,0.002493333333333334,0.0005307269647484583,0.0018343487683292136,0.0031523178983374543,two-sided Student-t across independent seeds,0.21285840832157416,0.03457814661134197,0.027549053820001713,29353.8,146769.0,26353.8,4.0,0.5877555555555555,171.2,1975.2,0.03326666666666667,0.0036666666666666666,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,p0,0.3,false,3000,3,3,3,true,0,,0.0039969,0.00014159777540625413,0.00364515162621773,0.004348648373782271,two-sided Student-t across independent seeds,0.035426899698830124,0.6584647302904567,0.01850627987371666,33052.0,99156.0,30052.0,5.0,0.5217777777777778,138.0,1965.6666666666667,0.051,0.003888888888888889,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,proposal_std,0.06,false,3000,3,3,3,true,0,,0.002815111111111112,0.0008146102908298707,0.0007915069673058031,0.004838715254916421,two-sided Student-t across independent seeds,0.28937056431436825,0.16809589672660258,0.02544576154967466,25302.0,75906.0,22302.0,4.0,0.6796296296296297,146.0,2403.6666666666665,0.033888888888888885,0.002444444444444445,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,proposal_std,0.12,true,3000,5,5,5,true,0,,0.002493333333333334,0.0005307269647484583,0.0018343487683292136,0.0031523178983374543,two-sided Student-t across independent seeds,0.21285840832157416,0.03457814661134197,0.027549053820001713,29353.8,146769.0,26353.8,4.0,0.5877555555555555,171.2,1975.2,0.03326666666666667,0.0036666666666666666,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,proposal_std,0.24,false,3000,3,2,0,false,3,Two consecutive earlier seeds had execution or reliability failures. | unique_states 1036 < 1500 | unique_states 1038 < 1500,0.002589333333333334,0.0008447569012575291,-0.005000506295895439,0.010179172962562107,two-sided Student-t across independent seeds,0.3262449412683556,0.0744121715076076,0.027072920030959388,35963.0,71926.0,32963.0,4.0,0.3888888888888889,203.0,1037.0,0.027333333333333334,0.009333333333333334,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,context_refresh_prob,0.3,false,3000,3,2,0,false,3,Two consecutive earlier seeds had execution or reliability failures. | unique_contexts 63 < 100 | unique_contexts 83 < 100,0.0029760000000000003,0.0007316198162676812,-0.0035973432503142036,0.009549343250314205,two-sided Student-t across independent seeds,0.2458399920254305,0.2348547717842326,0.024073137662548635,20926.0,41852.0,17926.0,4.0,0.7528333333333332,73.0,2785.0,0.041666666666666664,0.0015,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,context_refresh_prob,0.5,false,3000,3,3,1,false,2,unique_contexts 96 < 100 | unique_contexts 97 < 100,0.0027377777777777786,0.0005632750791707503,0.001338524911537905,0.0041370306440176524,two-sided Student-t across independent seeds,0.20574170911269282,0.13600737667127755,0.025664283030315396,24654.0,73962.0,21654.0,4.0,0.6947037037037037,104.0,2519.0,0.03988888888888889,0.001888888888888889,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,context_refresh_prob,0.7,true,3000,5,5,5,true,0,,0.002493333333333334,0.0005307269647484583,0.0018343487683292136,0.0031523178983374543,two-sided Student-t across independent seeds,0.21285840832157416,0.03457814661134197,0.027549053820001713,29353.8,146769.0,26353.8,4.0,0.5877555555555555,171.2,1975.2,0.03326666666666667,0.0036666666666666666,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
following,context_refresh_prob,0.9,false,3000,3,2,0,false,3,Two consecutive earlier seeds had execution or reliability failures. | unique_states 1011 < 1500 | unique_states 1045 < 1500,0.0026000000000000007,0.00023381664231235166,0.000499240816909895,0.004700759183090106,two-sided Student-t across independent seeds,0.08992947781244293,0.07883817427385931,0.026361509091613142,35031.0,70062.0,32031.0,4.0,0.40988888888888886,258.0,1028.0,0.027666666666666666,0.008833333333333334,0.00241,0.002204456096409941,0.0026346582514010512,200000,482
cutin,num_samples,500,false,500,3,3,3,true,0,,0.008333333333333333,0.0028095076674273974,0.00135412938531172,0.015312537281354947,two-sided Student-t across independent seeds,0.3371409200912877,0.1990407673860912,0.15339444738284994,1644.0,4932.0,1144.0,2.0,0.6833333333333332,114.0,391.6666666666667,0.02,0.010666666666666666,0.00695,0.005889547147273566,0.008199819607651206,20000,139
cutin,num_samples,1000,true,1000,5,5,5,true,0,,0.005880000000000001,0.001235718414526546,0.0043456529327649505,0.007414347067235051,two-sided Student-t across independent seeds,0.21015619294669147,-0.15395683453237397,0.12844412945160993,3326.8,16634.0,2326.8,2.0,0.6664000000000001,222.0,766.4,0.01,0.005,0.00695,0.005889547147273566,0.008199819607651206,20000,139
cutin,num_samples,2000,false,2000,3,3,3,true,0,,0.006916666666666667,0.0010372238588334409,0.004340059763443246,0.009493273569890088,two-sided Student-t across independent seeds,0.14996007597591915,-0.004796163069544211,0.08253708384454352,6664.0,19992.0,4664.0,2.0,0.6641666666666667,429.6666666666667,1528.3333333333333,0.005,0.0030000000000000005,0.00695,0.005889547147273566,0.008199819607651206,20000,139
cutin,p0,0.05,false,1000,3,3,3,true,0,,0.006183333333333333,0.0011676186592091329,0.003282807789084514,0.009083858877582153,two-sided Student-t across independent seeds,0.18883320634109965,-0.11031175059952035,0.0849790912214093,3517.6666666666665,10553.0,2517.6666666666665,2.0,0.6703333333333333,119.33333333333333,720.3333333333334,0.02,0.007333333333333334,0.00695,0.005889547147273566,0.008199819607651206,20000,139
cutin,p0,0.1,true,1000,5,5,5,true,0,,0.005880000000000001,0.001235718414526546,0.0043456529327649505,0.007414347067235051,two-sided Student-t across independent seeds,0.21015619294669147,-0.15395683453237397,0.12844412945160993,3326.8,16634.0,2326.8,2.0,0.6664000000000001,222.0,766.4,0.01,0.005,0.00695,0.005889547147273566,0.008199819607651206,20000,139
cutin,p0,0.2,false,1000,3,3,3,true,0,,0.0064,0.0014000000000000002,0.002922207203592636,0.009877792796407365,two-sided Student-t across independent seeds,0.21875000000000003,-0.07913669064748191,0.17634506168177846,2916.0,8748.0,1916.0,2.0,0.6496666666666667,394.6666666666667,849.6666666666666,0.005,0.004,0.00695,0.005889547147273566,0.008199819607651206,20000,139
