response_time,ego_max_accel,ego_min_brake,lead_max_brake,temperature,pool_beta,rss_violation_rate,severe_rss_violation_rate,min_rss_margin_mean,min_rss_margin_p05,min_rss_margin_p50,min_rss_margin_p95,corr_min_rss_margin_min_ttc,corr_min_rss_margin_min_gap,recorded_highd_false_positive_rate
0.3,0.5,3.0,3.0,1.0,8.0,0.10005,0.0421,37.24302396370621,-7.668296313285827,25.800003051757812,125.97201118469235,0.3562497119544738,0.8793523102043317,0.0421
0.3,0.5,3.0,4.0,1.0,8.0,0.5918,0.47145,1.4778155892959184,-50.91539249420166,-7.848203182220459,93.29387702941894,0.36657446789862347,0.8030786792222612,0.47145
0.3,0.5,3.0,6.0,1.0,8.0,0.83085,0.7811,-38.01247829791647,-99.19751930236816,-44.54379844665527,49.57632007598873,0.2940459629906602,0.696339722493862,0.7811
0.3,0.5,3.0,8.0,1.0,8.0,0.8877,0.85145,-57.92234766383718,-124.85825119018554,-63.53385353088379,27.84378452301025,0.25045745000611197,0.6271204997350949,0.85145
0.3,0.5,4.0,3.0,1.0,8.0,0.00225,0.00085,53.22594429757874,13.540002727508545,39.76498222351074,144.03980560302733,0.07088686899295009,0.9851562372009247,0.00085
0.3,0.5,4.0,4.0,1.0,8.0,0.0625,0.01965,39.9145886694571,-1.8448096930980682,27.412227630615234,129.07929229736317,0.2915762110137283,0.9269642715971932,0.01965
0.3,0.5,4.0,6.0,1.0,8.0,0.5837,0.45715,2.892228151715815,-45.5405309677124,-6.763416051864624,91.68107910156247,0.28284832417083955,0.8602644323518636,0.45715
0.3,0.5,4.0,8.0,1.0,8.0,0.73915,0.6613,-16.931336167228462,-69.53635864257812,-24.78355121612549,69.29579620361328,0.24619460821137634,0.8085407655974239,0.6613
0.3,0.5,6.0,3.0,1.0,8.0,0.0,0.0,54.694866623020175,14.229992532730103,40.6299991607666,148.02047576904297,0.03454651405265232,0.9995406262101187,0.0
0.3,0.5,6.0,4.0,1.0,8.0,5e-05,0.0,54.213609225600955,14.099993419647216,40.37000846862793,146.91051635742187,0.0464220723188726,0.9963185003219542,0.0
0.3,0.5,6.0,6.0,1.0,8.0,0.03005,0.0047,42.412418471344196,2.6382660269737244,29.071566581726074,132.00443115234373,0.21906836466587795,0.9636070710800623,0.0047
0.3,0.5,6.0,8.0,1.0,8.0,0.30185,0.13075,23.855849631160424,-17.68270101547241,11.355968952178955,113.19516983032226,0.2164412119408812,0.9418487657880344,0.13075
0.3,0.5,8.0,3.0,1.0,8.0,0.0,0.0,54.75475221478939,14.230003166198731,40.655006408691406,148.2904930114746,0.033051055498636676,0.9999588929180662,0.0
0.3,0.5,8.0,4.0,1.0,8.0,0.0,0.0,54.69539870980978,14.230003166198731,40.6299991607666,148.02047576904297,0.034529027697726825,0.9996602253436843,0.0
0.3,0.5,8.0,6.0,1.0,8.0,0.00025,0.0,53.44282030960396,13.619495010375976,39.85000228881836,145.34025955200195,0.06521557747029247,0.9939763924172366,0.0
0.3,0.5,8.0,8.0,1.0,8.0,0.0185,0.00155,43.53761084393448,4.112465357780457,29.895591735839844,133.8610984802246,0.17961359711299316,0.9773659125650799,0.00155
0.3,1.0,3.0,3.0,1.0,8.0,0.1169,0.0473,36.00082491701881,-9.393212556838987,24.64248561859131,125.16302566528317,0.3634680976417006,0.87542214320456,0.0473
0.3,1.0,3.0,4.0,1.0,8.0,0.60755,0.49165,-0.0675324962059909,-52.67193126678467,-9.349247932434082,91.81436042785641,0.36700330201789555,0.7999410870937772,0.49165
0.3,1.0,3.0,6.0,1.0,8.0,0.83695,0.78855,-39.578652902665475,-101.04338493347169,-46.0847225189209,48.00130672454832,0.2939057658488553,0.6925594302114125,0.78855
0.3,1.0,3.0,8.0,1.0,8.0,0.89265,0.8561,-59.48954300265026,-126.6507354736328,-65.05696868896484,26.37941684722897,0.2502562605443755,0.6232518831689642,0.8561
0.3,1.0,4.0,3.0,1.0,8.0,0.00245,0.00095,53.10685156738572,13.439875984191895,39.67811584472656,143.72328491210936,0.0738156178496408,0.9840515640292149,0.00095
0.3,1.0,4.0,4.0,1.0,8.0,0.07235,0.0223,38.94096444196606,-3.042729437351226,26.4893741607666,128.42149810791014,0.296596640434437,0.9245707089560827,0.0223
0.3,1.0,4.0,6.0,1.0,8.0,0.5959,0.47325,1.717272633426101,-46.879140853881836,-7.867521286010742,90.49315071105956,0.28321732734195804,0.8580402809319496,0.47325
0.3,1.0,4.0,8.0,1.0,8.0,0.74645,0.6707,-18.110707362757275,-70.90575103759765,-25.932958602905273,68.1292583465576,0.2463600192123853,0.8058503294151445,0.6707
0.3,1.0,6.0,3.0,1.0,8.0,0.0,0.0,54.68919612255097,14.229992532730103,40.6299991607666,148.02047576904297,0.034685581058005115,0.9995059207301641,0.0
0.3,1.0,6.0,4.0,1.0,8.0,5e-05,0.0,54.171860639446976,14.059998750686646,40.35500526428223,146.8139831542968,0.04743906315741208,0.9960490983814703,0.0
0.3,1.0,6.0,6.0,1.0,8.0,0.0351,0.00535,41.71842712174548,1.9093258082866669,28.404205322265625,131.36243438720692,0.22171698476257945,0.9625218909845078,0.00535
0.3,1.0,6.0,8.0,1.0,8.0,0.3159,0.14385,23.069691929547467,-18.57511501312256,10.63579511642456,112.32227668762206,0.2169261377843526,0.9408526962027514,0.14385
0.3,1.0,8.0,3.0,1.0,8.0,0.0,0.0,54.75389835249185,14.230003166198731,40.65000343322754,148.2904930114746,0.033072031928095456,0.9999554810647577,0.0
0.3,1.0,8.0,4.0,1.0,8.0,0.0,0.0,54.69008771289587,14.229999494552612,40.6299991607666,148.02047576904297,0.034658767633233285,0.999634640930278,0.0
0.3,1.0,8.0,6.0,1.0,8.0,0.00025,0.0,53.338759279159504,13.507726907730104,39.76999282836914,145.17498321533196,0.06769723264317114,0.9935547490335864,0.0
0.3,1.0,8.0,8.0,1.0,8.0,0.02125,0.0017,42.992560295564274,3.5424051880836487,29.315957069396973,133.54673461914058,0.18118646604150832,0.9767671584617387,0.0017
0.3,2.0,3.0,3.0,1.0,8.0,0.15295,0.0619,33.412911302957944,-12.71611385345459,21.955008506774902,123.22049484252929,0.3756262922357743,0.8678466061549884,0.0619
0.3,2.0,3.0,4.0,1.0,8.0,0.6377,0.5301,-3.185215082119254,-56.36668663024902,-12.366018295288086,88.63157539367674,0.3677652118664165,0.7936414611568359,0.5301
0.3,2.0,3.0,6.0,1.0,8.0,0.84865,0.8012,-42.733643251423175,-104.81088066101074,-49.21199607849121,44.802145767211805,0.29359656310826465,0.68498568903126,0.8012
0.3,2.0,3.0,8.0,1.0,8.0,0.90125,0.86605,-62.64656734767119,-130.4389892578125,-68.19401550292969,23.520578479766783,0.2498357220983358,0.6155346826583689,0.86605
0.3,2.0,4.0,3.0,1.0,8.0,0.00275,0.0012,52.838401159605944,13.260001945495606,39.444990158081055,143.17149810791014,0.08038939300486135,0.9816013973542045,0.0012
0.3,2.0,4.0,4.0,1.0,8.0,0.0994,0.0289,36.925705471793414,-5.519538021087645,24.427757263183594,126.62300262451167,0.3052516166455114,0.9199156734523438,0.0289
0.3,2.0,4.0,6.0,1.0,8.0,0.62085,0.5018,-0.6504047392740279,-49.57377262115479,-10.143592834472656,87.9802116394043,0.2839234556199636,0.8535420927652109,0.5018
0.3,2.0,4.0,8.0,1.0,8.0,0.76145,0.6874,-20.486489832078945,-73.6605411529541,-28.223429679870605,65.6909168243408,0.24666957561471248,0.8004321410267156,0.6874
0.3,2.0,6.0,3.0,1.0,8.0,0.0,0.0,54.67667823777199,14.229487323760987,40.625,147.98199462890622,0.0349919370741231,0.9994279946062753,0.0
0.3,2.0,6.0,4.0,1.0,8.0,5e-05,0.0,54.07920463870764,13.959496402740479,40.264991760253906,146.6514938354492,0.0496847581610825,0.9954499551638992,0.0
0.3,2.0,6.0,6.0,1.0,8.0,0.04695,0.00745,40.29774387460158,0.31472575664520297,26.848649978637695,130.43012619018555,0.22645976433237677,0.9603801409114389,0.00745
0.3,2.0,6.0,8.0,1.0,8.0,0.3428,0.1677,21.48486077463501,-20.340470027923583,9.197233200073242,110.61395225524898,0.21786447282390345,0.9388368100198233,0.1677
0.3,2.0,8.0,3.0,1.0,8.0,0.0,0.0,54.751914167511465,14.230003166198731,40.65000343322754,148.2904930114746,0.03312051465863629,0.9999478112939326,0.0
0.3,2.0,8.0,4.0,1.0,8.0,0.0,0.0,54.67821569865346,14.220008373260498,40.619998931884766,148.02047576904297,0.034946280475190265,0.9995775940996331,0.0
0.3,2.0,8.0,6.0,1.0,8.0,0.0005,0.0,53.101178098581734,13.319999599456787,39.60000419616699,144.6007125854492,0.0733008238673636,0.9926297057971148,0.0
0.3,2.0,8.0,8.0,1.0,8.0,0.02885,0.00235,41.88263136139897,2.3601181268692017,28.224164962768555,132.31417617797842,0.18404163994069517,0.9755827141357662,0.00235
0.5,0.5,3.0,3.0,1.0,8.0,0.185,0.0781,31.312399299932306,-15.279038047790527,19.770026206970215,121.47034225463864,0.3834348998854054,0.8620328546962328,0.0781
0.5,0.5,3.0,4.0,1.0,8.0,0.65985,0.55665,-5.6369916434024,-59.23117237091064,-14.707045078277588,86.06917381286617,0.36830264918096123,0.7883946426435755,0.55665
0.5,0.5,3.0,6.0,1.0,8.0,0.8568,0.81235,-45.21092527483762,-107.71958198547364,-51.6766242980957,42.233357048034584,0.2933096150519676,0.678666051808385,0.81235
0.5,0.5,3.0,8.0,1.0,8.0,0.90705,0.87175,-65.12545379536783,-133.46846389770508,-70.67908477783203,21.213901042938186,0.24946789253171828,0.609126267794858,0.87175
0.5,0.5,4.0,3.0,1.0,8.0,0.00415,0.0016,52.38078844573777,12.8214852809906,39.1199951171875,142.4284996032715,0.09152853437286951,0.9775114754522797,0.0016
