epoch,checkpoint_score,train_objective,train_risk_term,train_risk_before,train_risk_after,train_risk_delta,train_risk_delta_p95,train_risk_delta_positive_rate,train_naturalness_penalty,train_delta_l2,train_delta_smoothness,train_delta_abs_max,train_physics_penalty,train_diversity_reward,train_latent_diversity_reward,train_risk_coverage_reward,val_objective,val_risk_term,val_risk_before,val_risk_after,val_risk_delta,val_risk_delta_p95,val_risk_delta_positive_rate,val_naturalness_penalty,val_delta_l2,val_delta_smoothness,val_delta_abs_max,val_physics_penalty,val_diversity_reward,val_latent_diversity_reward,val_risk_coverage_reward,val_risk_type_entropy,val_delta_action_mean,val_delta_action_std,val_delta_action_p05,val_delta_action_p95
1,28.611573472828205,26.376678152782844,27.800175158947706,5.155624416351318,15.185183185577392,10.029558796808123,33.354917697429656,0.986623046875,48.03260754707828,48.032597350675616,0.00010233174856350656,6.458105331867933,9.44433163891919,0.12621913760900497,0.004231388046622669,1.219877474784851,26.710370540618896,28.611459732055664,5.233139753341675,14.810091018676758,9.576951503753662,32.84081840515137,1.0,63.99363708496094,63.99363708496094,2.061577823600849e-12,7.999602317810059,12.621758699417114,0.10226139798760414,5.084692134005309e-07,1.022608906030655,0.0022748154507987116,-7.999602573860902,1.9244905839756792e-06,-7.999602794647217,-7.999602317810059
2,28.55162361526015,35.420637603759765,37.443342224121096,5.156069175720215,18.901756469726564,13.745687393188476,43.80862078857422,1.0,63.99595672607422,63.99595672607422,8.656164915199017e-11,7.9997473831176755,13.839599281311035,0.12149444752931594,5.693717195072168e-07,1.2149387693405151,26.655566692352295,28.55141305923462,5.226011157035828,14.771016120910645,9.545005321502686,32.98645305633545,1.0,63.997406005859375,63.997406005859375,2.9426942043590636e-13,7.999837875366211,12.569045782089233,0.10326869413256645,2.560797369710599e-07,1.0326843559741974,0.004211120510638801,-7.99983781791525,7.172472153340729e-07,-7.999837875366211,-7.999837875366211
3,28.655455365986164,35.46119219970703,37.482578186035155,5.15486623764038,18.882503616333008,13.727637382507325,43.21418283081055,1.0,63.99808697509766,63.99808697509766,4.937516490772457e-13,7.999880565643311,13.82622713470459,0.12176346009969712,2.432496498556702e-07,1.217632152557373,26.75828504562378,28.655341625213623,5.217992544174194,14.845010042190552,9.627017498016357,32.324934005737305,1.0,63.99859046936035,63.99859046936035,8.308857548928843e-14,7.999912261962891,12.580868244171143,0.10165075026452541,1.0320562715548931e-07,1.0165064334869385,0.0022748154507987116,-7.999912216727971,3.8769974916627977e-07,-7.999912261962891,-7.999912261962891
4,28.551016584247883,35.45409541320801,37.48542726135254,5.154900779724121,18.902382080078127,13.747481369018555,43.57023001098633,1.0,63.99887158203125,63.99887158203125,6.222595346813524e-11,7.999929592132569,13.925594047546387,0.1216576184630394,1.6989433763114903e-07,1.216574468612671,26.65378427505493,28.550902843475342,5.219796895980835,14.565252304077148,9.345455646514893,32.527355670928955,1.0,63.99909973144531,63.99909973144531,4.439844149338283e-14,7.999943733215332,12.581368446350098,0.10096866823732853,2.7350685272153896e-08,1.0096864104270935,0.0022748154507987116,-7.999943714140099,2.658949482978864e-07,-7.999943733215332,-7.999943733215332
5,29.030158042907715,35.14291444396973,37.16524559020996,5.155312454223632,18.803349609375,13.648037223815917,43.30163610839844,1.0,63.999245574951175,63.999245574951175,2.1406757846241998e-14,7.999952949523926,13.835543800354005,0.12150191050767899,1.2016661231939451e-07,1.2150178861618042,27.13114023208618,29.030158042907715,5.2069947719573975,14.486361503601074,9.279366970062256,32.552186012268066,1.0,63.99937438964844,63.99937438964844,2.3215272765823207e-14,7.999960899353027,12.60032320022583,0.10086867585778236,6.550871667343472e-08,1.0086860656738281,-0.0,-7.999960871259682,2.0003281088409583e-07,-7.999960899353027,-7.999960899353027
6,28.65103842338973,35.10558088684082,37.12762557983398,5.1523449440002445,18.796694458007813,13.644349479675293,43.25704736328125,1.0,63.99945529174805,63.99945529174805,1.170071725022559e-14,7.999966037750244,13.832648376464844,0.1215611720085144,7.081503052930315e-08,1.215610999107361,26.75352954864502,28.650924682617188,5.219126582145691,14.461287260055542,9.24216079711914,31.94290256500244,1.0,63.999534606933594,63.999534606933594,1.1659324239177192e-14,7.99997091293335,12.584110021591187,0.10110463947057724,3.222673816694055e-08,1.0110460668802261,0.0022748154507987116,-7.999970897951862,1.413229534675399e-07,-7.99997091293335,-7.99997091293335
7,28.26881054305556,35.334079360961915,37.35653619384765,5.155638904571533,18.87746434020996,13.721825576782226,43.42504211425781,1.0,63.99958984375,63.99958984375,6.986184686782744e-15,7.9999744415283205,13.836777351379395,0.12163780134916305,5.2855435468401877e-08,1.2163774671554566,26.372890949249268,28.26859998703003,5.211530327796936,14.310890913009644,9.099360227584839,32.04909420013428,1.0,63.99964141845703,63.99964141845703,6.027208202338428e-15,7.9999775886535645,12.567216157913208,0.10082457959651947,1.189310050442316e-08,1.0082456469535828,0.004211120510638801,-7.999977581226267,1.0013653503839746e-07,-7.9999775886535645,-7.9999775886535645
8,28.31772856100754,35.39875526428223,37.42036755371094,5.156852405548095,18.9136492767334,13.756796875,43.413354278564455,1.0,63.99967864990234,63.99967864990234,4.796797705805097e-15,7.999980014801025,13.828331535339355,0.12164584475755691,4.0967825334803365e-08,1.2164580192565917,26.417596340179443,28.31740427017212,5.220014572143555,14.750906229019165,9.530891418457031,32.07025718688965,1.0,63.99971389770508,63.99971389770508,4.711367188613461e-15,7.9999823570251465,12.608269214630127,0.10168600268661976,1.1188615811619229e-08,1.016859918832779,0.006485816708473259,-7.999982348222402,8.917977562812276e-08,-7.9999823570251465,-7.9999823570251465
9,28.566622033924396,35.15962561035156,37.18140441894531,5.15579831314087,18.866362915039062,13.710564643859863,43.49549905395508,1.0,63.99974072265625,63.99974072265625,3.976184384378775e-15,7.999983905792236,13.829985649108886,0.12164358305931092,4.693734296323804e-08,1.2164353456497192,26.667561054229736,28.566508293151855,5.216042399406433,14.79258418083191,9.576541900634766,32.91416692733765,1.0,63.9997673034668,63.9997673034668,5.9867077454819374e-15,7.999985694885254,12.599661111831665,0.10167882591485977,4.083034355062409e-08,1.016787827014923,0.0022748154507987116,-7.999985681555118,9.785933476919934e-08,-7.999985694885254,-7.999985694885254
10,29.214742454524067,35.426254257202146,37.44754278564453,5.1538994560241695,18.885065383911133,13.731165855407715,43.33255322265625,1.0,63.99978704833985,63.99978704833985,2.8994493088727007e-15,7.999986766815185,13.82505835723877,0.12164304155111313,3.259059467364267e-08,1.2164300804138184,27.31841516494751,29.214531898498535,5.226112127304077,14.920640468597412,9.694528341293335,33.278658866882324,1.0,63.99980926513672,63.99980926513672,2.0924304659208632e-15,7.999988079071045,12.571392297744751,0.10206718556582928,9.154676683387208e-09,1.0206717550754547,0.004211120510638801,-7.999988074130961,5.812186837152956e-08,-7.999988079071045,-7.999988079071045
