section,metric,value
validation,val_loss,0.24629344456335586
validation,val_noise_mse,0.19733968158707033
validation,val_x0_l1,0.41408654155471314
validation,val_smooth,0.7545107783101089
action_distribution,real_ax_mean,-0.040112193714958264
action_distribution,real_ax_std,0.34911916874140714
action_distribution,real_ax_p05,-0.6543558686971664
action_distribution,real_ax_p50,0.015054777264595032
action_distribution,real_ax_p95,0.421049028635025
action_distribution,gen_ax_mean,-0.044718198370868836
action_distribution,gen_ax_std,0.3471673105719196
action_distribution,gen_ax_p05,-0.6398733586072922
action_distribution,gen_ax_p50,0.008209099993109703
action_distribution,gen_ax_p95,0.3948623478412623
action_distribution,real_jerk_mean,-0.0006572502106428147
action_distribution,real_jerk_std,0.7879857286560911
action_distribution,real_jerk_p05,-1.2421607971191406
action_distribution,real_jerk_p50,0.0
action_distribution,real_jerk_p95,1.2433528900146484
action_distribution,gen_jerk_mean,-0.008566728977621096
action_distribution,gen_jerk_std,0.7374869274336601
action_distribution,gen_jerk_p05,-1.1385336995124817
action_distribution,gen_jerk_p50,-0.004328829236328602
action_distribution,gen_jerk_p95,1.143328422307968
action_distribution,ax_wasserstein,0.009723541033421554
action_distribution,jerk_wasserstein,0.057171432043996905
action_distribution,ax_ks,0.026484374999999893
action_distribution,jerk_ks,0.14875
action_distribution,ax_histogram_l1,0.13000000000000017
action_distribution,jerk_histogram_l1,0.13234374999999998
physical_feasibility,action_clip_rate,0.0
physical_feasibility,speed_negative_rate,0.0
physical_feasibility,jerk_violation_rate,7.8125e-05
physical_feasibility,ax_violation_rate,0.0
physical_feasibility,trajectory_discontinuity_rate,0.0
trajectory_naturalness,real_lead_speed_mean,33.63165286853909
trajectory_naturalness,real_lead_speed_std,4.836221940854648
trajectory_naturalness,real_lead_speed_p05,24.741136837005616
trajectory_naturalness,real_lead_speed_p50,34.00150489807129
trajectory_naturalness,real_lead_speed_p95,41.57397575378418
trajectory_naturalness,gen_lead_speed_mean,33.62880262903869
trajectory_naturalness,gen_lead_speed_std,4.840047738977679
trajectory_naturalness,gen_lead_speed_p05,24.72490463256836
trajectory_naturalness,gen_lead_speed_p50,33.98893928527832
trajectory_naturalness,gen_lead_speed_p95,41.62199459075928
trajectory_naturalness,real_gap_mean,62.154136149287226
trajectory_naturalness,real_gap_std,43.41878347311635
trajectory_naturalness,real_gap_p05,16.85483694076538
trajectory_naturalness,real_gap_p50,48.70794868469238
trajectory_naturalness,real_gap_p95,149.64545898437493
trajectory_naturalness,gen_gap_mean,62.15289641458541
trajectory_naturalness,gen_gap_std,43.41984545801268
trajectory_naturalness,gen_gap_p05,16.849850273132326
trajectory_naturalness,gen_gap_p50,48.73972702026367
trajectory_naturalness,gen_gap_p95,149.64965896606438
trajectory_naturalness,real_lead_final_speed_mean,33.59012717753649
trajectory_naturalness,real_lead_final_speed_std,4.89093595549197
trajectory_naturalness,real_lead_final_speed_p05,24.716081142425537
trajectory_naturalness,real_lead_final_speed_p50,33.9746036529541
trajectory_naturalness,real_lead_final_speed_p95,41.69960651397705
trajectory_naturalness,gen_lead_final_speed_mean,33.580915220081806
trajectory_naturalness,gen_lead_final_speed_std,4.900524197870448
trajectory_naturalness,gen_lead_final_speed_p05,24.654037857055663
trajectory_naturalness,gen_lead_final_speed_p50,33.88955497741699
trajectory_naturalness,gen_lead_final_speed_p95,41.69219608306885
trajectory_naturalness,real_lead_displacement_mean,65.91812029480934
trajectory_naturalness,real_lead_displacement_std,9.470955513039547
trajectory_naturalness,real_lead_displacement_p05,48.50941467285156
trajectory_naturalness,real_lead_displacement_p50,66.64820098876953
trajectory_naturalness,real_lead_displacement_p95,81.43279304504395
trajectory_naturalness,gen_lead_displacement_mean,65.91260416805744
trajectory_naturalness,gen_lead_displacement_std,9.478454770263058
trajectory_naturalness,gen_lead_displacement_p05,48.42411117553711
trajectory_naturalness,gen_lead_displacement_p50,66.63521575927734
trajectory_naturalness,gen_lead_displacement_p95,81.48748588562012
trajectory_naturalness,lead_speed_wasserstein,0.015926878675818445
trajectory_naturalness,lead_final_speed_wasserstein,0.0548766627907753
trajectory_naturalness,lead_displacement_wasserstein,0.05457159876823425
trajectory_naturalness,gap_wasserstein,0.013200913108885288
diversity,num_contexts,32.0
diversity,samples_per_context,8.0
diversity,sample_std_action,0.5765405297279358
diversity,sample_std_final_position,0.07430307567119598
diversity,sample_std_final_speed,0.10492736101150513
diversity,mode_collapse_indicator,0.0
