ego_speed_lo,ego_speed_hi,relative_speed_lo,relative_speed_hi,count,rss_violation_rate,min_rss_margin_mean
20.0,25.0,-15.0,-10.0,1213.0,0.10964550700741962,85.03459854000182
20.0,25.0,-10.0,-5.0,3079.0,0.17765508281909712,37.739460842055365
20.0,25.0,-5.0,0.0,36438.0,0.8926669959931939,-68.89011215337447
20.0,25.0,0.0,5.0,28767.0,0.9512288385997845,-82.79844030576366
25.0,30.0,-20.0,-15.0,250.0,0.132,22.486055253982546
25.0,30.0,-15.0,-10.0,5018.0,0.1789557592666401,44.11710110634355
25.0,30.0,-10.0,-5.0,37645.0,0.6924425554522513,-28.076790403981796
25.0,30.0,-5.0,0.0,170427.0,0.9240437254660353,-100.44517574013119
25.0,30.0,0.0,5.0,141836.0,0.9468188612200006,-111.3892647647724
25.0,30.0,5.0,10.0,8638.0,0.9164158369993054,-79.30638912456968
30.0,35.0,-20.0,-15.0,205.0,0.18536585365853658,18.932070948583323
30.0,35.0,-15.0,-10.0,6101.0,0.7141452220947385,-27.44618032294069
30.0,35.0,-10.0,-5.0,64737.0,0.8987595965213093,-81.84134512196263
30.0,35.0,-5.0,0.0,454022.0,0.978990004889631,-137.24311343493903
30.0,35.0,0.0,5.0,404295.0,0.992700874361543,-156.34585133891358
30.0,35.0,5.0,10.0,53117.0,0.9781990699775966,-130.62329403718394
30.0,35.0,10.0,15.0,4892.0,0.9893704006541292,-133.81737170488447
35.0,40.0,-20.0,-15.0,4.0,1.0,-9.227516412734985
35.0,40.0,-15.0,-10.0,4439.0,0.9722910565442667,-98.83634208545918
35.0,40.0,-10.0,-5.0,34899.0,1.0,-126.42352468966959
35.0,40.0,-5.0,0.0,284706.0,1.0,-186.30513331928677
35.0,40.0,0.0,5.0,389755.0,1.0,-201.89862208509717
35.0,40.0,5.0,10.0,71604.0,1.0,-194.21554987383024
35.0,40.0,10.0,15.0,12448.0,1.0,-192.23642876200321
35.0,40.0,15.0,20.0,97.0,1.0,-244.0743239884524
