recording_id,event_id,ego_id,target_id,start_frame,end_frame,anchor_frame,context_end_frame,context_length,context_horizon_steps,pre_cross_steps,post_cross_steps,risk_start_frame,risk_start_index,cross_frame,cutin_start_frame,cutin_end_frame,source_lane,target_lane,ego_length,adv_length,initial_gap,initial_closing_speed,recorded_min_gap,recorded_min_ttc,completion_gap,post_cutin_min_gap,post_cutin_min_ttc,cutin_gap,cutin_ttc,cutin_time_headway,cutin_lateral_time_gap,max_post_cutin_drac,cutin_duration_seconds,cross_lateral_offset,min_abs_lateral_offset,max_abs_lateral_velocity,max_lateral_approach_speed,final_abs_lateral_offset,cutin_safety_risk_score,post_longitudinal_risk_score,ltg_risk_score,y_long,is_cutin,is_front_cutin,collision,near_collision,y_cutin
1,cin_01_00001,12,11,1,235,129,229,101,100,35,65,164,34,164,153,235,6,5,3.64,4.14,104.50999389648437,12.729999542236328,62.43998718261719,7.574775695800781,60.63999999999997,62.43998718261719,7.574775695800781,87.18000793457031,7.594076156616211,2.408287525177002,1.575963379744421,0.7558524012565613,3.28,2.16,0.010000228881835938,1.4999866485595703,1.4999866485595703,0.18000030517578125,1.1545234000871738,1.034208751010812,0.12031464907636169,1.034208751010812,1.0,1.0,0.0,0.0,1.1545234000871738
1,cin_01_00002,32,30,559,785,573,673,101,100,15,85,588,14,588,577,728,2,3,4.85,5.26,115.61000854492187,3.6100006103515625,106.0899887084961,32.15041732788086,103.58000000000004,106.0899887084961,34.90153884887695,113.43000030517578,34.90153884887695,3.257610559463501,1.0100011920940324,0.04655955359339714,6.04,-1.0999999999999996,0.029999732971191406,0.9999990463256836,0.9999990463256836,0.06000041961669922,0.5543653969087927,0.3689559695978299,0.18540942731096288,0.3689559695978299,1.0,1.0,0.0,0.0,0.5543653969087927
1,cin_01_00003,61,58,1196,1451,1323,1423,101,100,45,55,1368,44,1368,1357,1451,2,3,4.24,4.55,46.719990234375004,-1.3699989318847656,46.7700080871582,1000.0,51.91,48.97999954223633,1000.0,48.97999954223633,1000.0,1.439318299293518,1.7200152589248816,0.0,3.76,-1.3900000000000006,0.5199995040893555,1.0000228881835938,1.0000228881835938,0.5199995040893555,0.8099799451128696,0.7023368093536299,0.10764313575923978,0.7023368093536299,1.0,1.0,0.0,0.0,0.8099799451128696
1,cin_01_00004,84,79,1603,1812,1611,1711,101,100,20,80,1631,19,1631,1620,1761,2,3,4.35,4.14,162.82000244140625,9.069999694824219,125.5199966430664,12.464747428894043,103.98000000000002,125.5199966430664,12.464747428894043,155.48001098632812,17.161149978637695,3.918346881866455,1.320000953675226,0.4039391875267029,5.64,-1.3900000000000006,0.07000064849853516,1.250004768371582,1.250004768371582,0.07000064849853516,0.697770905474252,0.5579782985269996,0.13979260694725232,0.5579782985269996,1.0,1.0,0.0,0.0,0.697770905474252
1,cin_01_00005,94,93,1760,2020,1770,1870,101,100,35,65,1805,34,1805,1794,1900,5,6,4.85,4.85,18.43999900817871,-6.479999542236328,18.69999885559082,1000.0,45.18,27.340002059936523,1000.0,27.340002059936523,1000.0,0.8279830813407898,1.8699561319855045,0.0,4.24,-1.9800000000000004,0.43000030517578125,1.2499809265136719,1.2499809265136719,0.43000030517578125,1.2099909101695974,1.1104572523953127,0.09953365777428469,1.1104572523953127,1.0,1.0,0.0,0.0,1.2099909101695974
1,cin_01_00006,117,116,2300,2569,2368,2468,101,100,15,85,2383,14,2383,2372,2549,3,2,3.44,4.75,34.750001220703126,-11.549999237060547,35.209991455078125,1000.0,115.39000000000001,41.65997314453125,1000.0,41.65997314453125,1000.0,1.6053940057754517,2.220002384188065,0.0,7.08,2.370000000000001,0.6500005722045898,1.250004768371582,1.250004768371582,0.6500005722045898,0.6070344088808083,0.5217114253124736,0.08532298356833468,0.5217114253124736,1.0,1.0,0.0,0.0,0.6070344088808083
1,cin_01_00008,125,126,2667,2914,2804,2904,101,100,30,70,2834,29,2834,2823,2895,3,2,4.65,4.85,10.769989013671875,-4.700000762939453,10.949996948242188,1000.0,25.53,16.0,1000.0,16.0,1000.0,0.45236077904701233,1.160018310826276,0.0,2.88,1.5899999999999999,0.0,1.250004768371582,1.250004768371582,0.09000015258789062,2.2875326076412006,2.126968759889292,0.1605638477519084,2.126968759889292,1.0,1.0,0.0,0.0,2.2875326076412006
1,cin_01_00009,141,143,3211,3517,3355,3455,101,100,45,55,3400,44,3400,3389,3495,3,2,4.95,4.75,11.300009155273438,-6.049999237060547,11.549993515014648,1000.0,45.29,22.68001365661621,1000.0,22.68001365661621,1000.0,0.8353596329689026,1.2466578717317014,0.0,4.24,2.030000000000001,0.10000038146972656,1.5000104904174805,1.5000104904174805,0.10000038146972656,1.2569326883132304,1.1055510746345663,0.1513816136786641,1.1055510746345663,1.0,1.0,0.0,0.0,1.2569326883132304
1,cin_01_00010,166,167,3723,3980,3796,3896,101,100,45,55,3841,44,3841,3830,3946,5,6,4.65,4.75,4.509999084472656,-8.019998550415039,4.829998970031738,1000.0,63.69000000000004,19.999996185302734,1000.0,19.999996185302734,1000.0,0.6538083553314209,2.3732799287939477,0.0,4.64,-1.8699999999999974,0.7600002288818359,0.7500171661376953,0.7500171661376953,0.7600002288818359,1.5101817649438136,1.4299835579466316,0.08019820699718211,1.4299835579466316,1.0,1.0,0.0,0.0,1.5101817649438136
1,cin_01_00011,192,193,4168,4465,4182,4282,101,100,35,65,4217,34,4217,4206,4307,3,2,4.45,4.35,-0.10001220703125036,-8.369998931884766,0.23998412489891052,1000.0,45.25000000000001,12.269983291625977,1000.0,12.269983291625977,1000.0,0.47558075189590454,1.4933227370261464,0.0,4.04,2.3999999999999986,0.009999275207519531,1.5000104904174805,1.5000104904174805,0.2999992370605469,2.16033495145652,2.037211594576781,0.12312335687973928,2.037211594576781,1.0,1.0,0.0,0.0,2.16033495145652
