event_id,recording_id,ego_id,target_id,source_lane,target_lane,start_frame,cross_frame,end_frame,duration_s,post_gap_m,lane_width_m,start_speed_mps,ego_speed_mps
zhao_cutin_04_00001,4,200,196,3,4,4531,4553,4578,1.88,48.25,3.7300000000000004,28.63,35.43
zhao_cutin_07_00001,7,357,358,4,3,5835,5858,5881,1.84,6.670000000000004,3.619999999999999,42.26,34.11
zhao_cutin_08_00001,8,341,330,7,6,5626,5644,5661,1.4,251.84000000000003,3.530000000000001,36.47,40.59
zhao_cutin_09_00001,9,726,728,6,7,14027,14055,14073,1.84,15.660000000000025,3.620000000000001,43.15,34.7
zhao_cutin_27_00001,27,979,980,4,3,10891,10916,10933,1.68,5.669999999999975,3.8,37.86,30.6
zhao_cutin_29_00001,29,104,97,7,6,1140,1166,1189,1.96,54.540000000000035,3.799999999999997,25.34,30.1
zhao_cutin_29_00002,29,290,280,7,6,3248,3267,3292,1.76,310.48,3.799999999999997,36.09,40.34
zhao_cutin_35_00001,35,275,270,6,7,3281,3308,3331,2.0,67.56,3.6199999999999974,29.42,30.22
zhao_cutin_40_00001,40,1158,1150,3,4,14012,14035,14061,1.96,51.31999999999999,4.059999999999999,26.05,33.43
zhao_cutin_43_00001,43,1258,1254,6,7,14400,14428,14448,1.92,35.390000000000036,3.780000000000001,34.26,30.36
zhao_cutin_43_00002,43,1911,1902,7,6,21633,21655,21681,1.92,113.57000000000002,4.02,34.99,37.03
zhao_cutin_51_00001,51,977,968,7,6,11716,11736,11761,1.8,187.32,3.9800000000000004,33.76,33.22
zhao_cutin_55_00001,55,68,64,7,6,486,507,532,1.84,22.129999999999992,4.149999999999999,29.36,33.72
zhao_cutin_59_00001,59,138,140,7,8,1827,1847,1864,1.48,71.44000000000003,3.3699999999999974,34.6,24.78
